title,genre,director,actor,score,year
tm84618,"['drama', 'crime']",['Martin Scorsese'],"['Robert De Niro', 'Jodie Foster', 'Albert Brooks', 'Harvey Keitel', 'Cybill Shepherd', 'Peter Boyle', 'Leonard Harris', 'Diahnne Abbott', 'Gino Ardito', 'Martin Scorsese', 'Murray Moston', 'Richard Higgs', 'Bill Minkin', 'Bob Maroff', 'Victor Argo', 'Joe Spinell', 'Robinson Frank Adu', 'Brenda Dickson', 'Norman Matlock', 'Harry Northup', 'Harlan Cary Poe', 'Steven Prince', 'Peter Savage', 'Nicholas Shields', 'Ralph S. Singleton', 'Annie Gagen', 'Carson Grant', 'Mary-Pat Green', 'Debbi Morgan', 'Don Stroud', 'Copper Cunningham', 'Garth Avery', 'Nat Grant', 'Billie Perkins', 'Catherine Scorsese', 'Charles Scorsese']",8.189499999999999,1976
tm154986,"['drama', 'action', 'thriller', 'european']",['John Boorman'],"['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox', 'Ed Ramey', 'Billy Redden', 'Seamon Glass', 'Randall Deal', 'Bill McKinney', ""Herbert 'Cowboy' Coward"", 'Lewis Crone', 'Ken Keener', 'Johnny Popwell', 'John Fowler', 'Kathy Rickman', 'Louise Coldren', 'Pete Ware', 'James Dickey', 'Macon McCalman', 'Hoyt Pollard', 'Belinda Beatty', 'Charley Boorman']",7.5,1972
tm127384,"['fantasy', 'action', 'comedy']","['Terry Jones', 'Terry Gilliam']","['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Connie Booth', 'Carol Cleveland', 'Neil Innes', 'Bee Duffell', 'John Young', 'Rita Davies', 'Avril Stewart', 'Sally Kinghorn', 'Mark Zycon', 'Elspeth Cameron', 'Mitsuko Forstater', 'Sandy Johnson', 'Sandy Rose', 'Romilly Squire', 'Joni Flynn', 'Alison Walker', 'Loraine Ward', 'Anna Lanski', 'Sally Coombe', 'Vivienne MacDonald', 'Yvonne Dick', 'Daphne Darling', 'Fiona Gordon', 'Judy Lamb', 'Tracy Sneddon', 'Joyce Pollner', 'Mary Allen', 'Gloria Graham', 'Sylvia Taylor', 'Julian Doyle', 'Margarita Doyle', 'Zack Matalon', 'Scott Mike', 'William Palin', 'Terry Jones', 'Tom Raeburn', 'Brian Ross', 'Roy Forge Smith', 'John Thornton', 'Maggie Weston']",8.0055,1975
tm120801,"['war', 'action']",['Robert Aldrich'],"['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'Jim Brown', 'John Cassavetes', 'Richard Jaeckel', 'George Kennedy', 'Trini López', 'Ralph Meeker', 'Robert Ryan', 'Telly Savalas', 'Donald Sutherland', 'Clint Walker', 'Robert Webber', 'Tom Busby', 'Ben Carruthers', 'Stuart Cooper', 'Robert Phillips', 'Colin Maitland', 'Al Mancini', 'George Roubicek', 'Thick Wilson', 'Dora Reisser', 'Michael Anthony', 'Leo Britt', 'Alan Chuntz', 'Gary Files', 'Judith Furse', 'Hal Galili', 'Romo Gorrara', 'Willoughby Gray', 'Gerard Heinz', 'John G. Heller', 'George Hilsdon', 'John Hollis', 'Alf Joint', 'Juba Kennerley', 'Hildegard Knef', 'Ann Lancaster', 'Richard Marner', 'Dick Miller', 'Lionel Murton', 'Suzanne Owens-Duval', 'Mike Reid', 'Terry Richards', 'Frederick Schiller', 'Richard Shaw', 'Warren Stanhope', 'Hedger Wallace', 'Theodore Wilhelm', 'Rocky Taylor', 'Burnell Tucker', 'Vicki Woolf', 'Michael Segal']",7.65,1967
tm70993,['comedy'],['Terry Jones'],"['Graham Chapman', 'John Cleese', 'Terry Gilliam', 'Eric Idle', 'Terry Jones', 'Michael Palin', 'Terence Bayler', 'Carol Cleveland', 'Kenneth Colley', 'Neil Innes', 'Charles McKeown', 'John Young', 'Gwen Taylor', 'Sue Jones-Davies', 'Peter Brett', 'John Case', 'Chris Langham', 'Andrew MacLachlan', 'Bernard McKenna', 'Spike Milligan', 'George Harrison']",7.9,1979
tm14873,"['thriller', 'action', 'crime']",['Don Siegel'],"['Clint Eastwood', 'Harry Guardino', 'Reni Santoni', 'John Vernon', 'Andrew Robinson', 'John Larch', 'John Mitchum', 'Mae Mercer', 'Lyn Edgington', 'Ruth Kobart', 'Woodrow Parfrey', 'Josef Sommer', 'William Paterson', 'James Nolan', 'Maurice Argent', 'Jo De Winter', 'Craig Kelly', 'Albert Popwell', 'Joy Carlin', 'Bill Couch', 'Diana Davidson', 'Vince Deadrick Sr.', 'Chuck Dorsett', 'Al Dunlap', 'Larry Duran', 'George Fargo', 'Lois Foraker', 'Max Gail', 'John Garber', 'Christopher Pray', 'Eddie Garrett', 'James W. Gavin', 'David Gilliam', 'Don Haggerty', 'Scott Hale', 'Kate Harper', 'Bob Harris', 'Chuck Hicks', 'Raymond Johnson', 'Richard Lawson', 'Laurie Mock', 'Ann Noland', ""Kathleen O'Malley"", 'Angela Paton', 'Victor Paul', 'Debralee Scott', 'Don Siegel', 'Kristoffer Tabori', 'Tony Dario', 'Marc Hertsens', 'Gordon Chapli', 'Janet Wisely', 'Pamela Tanimura', 'Richard Samuelson', 'Derek Jue', 'Sean Maley', 'Diane Darnell']",7.6,1971
tm119281,"['crime', 'drama', 'action']",['Arthur Penn'],"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman', 'Estelle Parsons', 'Denver Pyle', 'Dub Taylor', 'Evans Evans', 'Gene Wilder', 'Mabel Cavitt', 'Patrick Cranshaw', 'Owen Bush', 'Clyde Howdy', 'Russ Marker', 'Ann Palmer', 'Ken Mayer']",7.6,1967
tm98978,"['romance', 'action', 'drama']",['Randal Kleiser'],"['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels', 'Jeffrey Kleiser', 'Gus Mercurio', 'Elva Josephson', 'Glenn Kohan', 'Bradley Pryce', 'Chad Timmerman', 'Gert Jacoby', 'Alex Hamilton', 'Richard Evanson']",5.978,1980
tm44204,"['action', 'drama', 'war']",['J. Lee Thompson'],"['Gregory Peck', 'David Niven', 'Anthony Quinn', 'Stanley Baker', 'Anthony Quayle', 'James Darren', 'Irene Papas', 'Gia Scala', 'James Robertson Justice', 'Richard Harris', 'Bryan Forbes', 'Allan Cuthbertson', 'Michael Trubshawe', 'Percy Herbert', 'George Mikell', 'Walter Gotell', 'Tutte Lemkow', 'Albert Lieven', 'Norman Wooland', 'Kleo Skouloudi', 'Nicholas Papakonstantinou', 'Christopher Rhodes', 'William Hoehne Jr.']",7.4,1961
tm67378,"['western', 'action', 'european']",['Richard Brooks'],"['Burt Lancaster', 'Lee Marvin', 'Robert Ryan', 'Woody Strode', 'Jack Palance', 'Claudia Cardinale', 'Ralph Bellamy', 'Joe De Santis', 'Rafael Bertrand', 'Jorge Martínez de Hoyos', 'Marie Gomez', 'José Chávez', 'Carlos Romero', 'Vaughn Taylor', 'Elizabeth Campbell', 'Don Carlos', 'Leigh Chapman', 'Roberto Contreras', 'Dirk Evans', 'Darwin Lamb', 'Eddie Little Sky', 'John Lopez', 'John McKee', 'Philip L. Parslow', 'Ron Veto']",7.199999999999999,1966
